metricTons	gasName	state	year
8920325.1	Carbon Dioxide	HI	2011
52348188.137	Carbon Dioxide	TN	2011
142035660.3	Carbon Dioxide	PA	2011
1090939.02648016	Methane	MN	2011
270251.18	Nitrous Oxide	WA	2011
204515.99	Nitrous Oxide	CO	2011
3222666.07	Nitrous Oxide	LA	2011
37055872.4	Carbon Dioxide	ND	2011
8702191.743	Methane	CO	2011
3942920.82822117	Methane	KY	2011
249586.364393027	Nitrous Oxide	MN	2011
17386351.2	Carbon Dioxide	PR	2011
219614.71	Sulfur Hexafluoride	CA	2011
945080.22	Methane	OR	2010
149176920.9	Carbon Dioxide	OH	2010
35215899.903	Carbon Dioxide	NM	2010
2380340.991	Methane	NJ	2010
22481.2	Nitrous Oxide	SD	2010
148960.89	Nitrous Oxide	NY	2010
369495229.954	Carbon Dioxide	TX	2010
39966.13	Nitrous Oxide	ID	2010
3043525.44	Nitrous Oxide	LA	2010
48639540.6	Carbon Dioxide	NY	2010
619654.04	Nitrous Oxide	IN	2010
1265974.59	Nitrous Oxide	GA	2010
98391982.126	Carbon Dioxide	AL	2010
1103235.63	Methane	PR	2010
300277.16	Nitrous Oxide	VA	2010
940855.05579	Nitrous Oxide	OH	2010
1452660.31	Nitrous Oxide	OK	2010
1910664.23	Nitrous Oxide	MS	2010
40456563.969	Carbon Dioxide	UT	2010
487883.907	Methane	MA	2010
19455.91	Nitrous Oxide	AK	2010
50573.09	Nitrous Oxide	CT	2010
496428.73	Nitrous Oxide	NC	2010
234848.57	Sulfur Hexafluoride	TX	2011
312907.14	Methane	HI	2011
1963797.167734	Biogenic CO2	CA	2010
467077.8	Methane	MT	2010
115933.3	Biogenic CO2	CO	2010
9315375.3	Biogenic CO2	SC	2011
5659032.9	Biogenic CO2	VA	2011
3657363.5	Biogenic CO2	MI	2010
103014.24	Nitrogen Triflouride	UT	2011
15295548.1	Biogenic CO2	GA	2010
322028.12	Fluorinated GHG Production (CO2)	AL	2011
13176.07	Sulfur Hexafluoride	VT	2011
104366.63	PFCs	AZ	2011
343761.68	PFCs	KY	2010
759591.82	PFCs	WA	2011
169283.7	Sulfur Hexafluoride	KY	2011
68728.43	PFCs	MN	2011
894.97	Nitrous Oxide	DC	2010
5334232	Biogenic CO2	MS	2010
1876.15	Sulfur Hexafluoride	MD	2011
11505.08	Nitrogen Triflouride	ID	2011
53567.27	PFCs	SC	2011
10363.7	Biogenic CO2	AK	2011
18627.6	Nitrogen Triflouride	WA	2011
34831.86	Sulfur Hexafluoride	PR	2011
16385.84	Sulfur Hexafluoride	CT	2011
613.33	HFCs	MA	2011
1370629.15	Sulfur Hexafluoride	UT	2011
43096.1	PFCs	NM	2011
734853.3	Biogenic CO2	HI	2010
9144.14	Sulfur Hexafluoride	MT	2011
791.7	Methane	GU	2010
4710700.8	HFCs	KY	2011
85360.95	PFCs	ME	2011
15233.86	Sulfur Hexafluoride	LA	2011
102521	PFCs	IN	2011
9862737.62384733	Methane	CA	2011
56603302.8	Carbon Dioxide	IA	2011
32494407.2	Carbon Dioxide	NE	2011
141624224.950153	Carbon Dioxide	OH	2011
403694.645810006	Nitrous Oxide	MI	2011
66148192.55	Carbon Dioxide	NC	2011
306156.31	Nitrous Oxide	TN	2011
1135528.14	Nitrous Oxide	AR	2011
96217.18	Nitrous Oxide	MT	2011
6017709.39	Methane	VA	2011
830290.6129166	Nitrous Oxide	MO	2011
300.3	Methane	DC	2011
3000409.062	Methane	NJ	2011
